gene,Exp GCN,Exp RNA,kGin,kGac,kTCleak,kTCmaxs,kTCd,mRNA params,Exp Protein,Protein_half_life_Schwan_h,Protein_half_life_lit_h,kTLnatSchwan_s,kTLnatLit_s
EGFR,2,4,0.005,0.0005,0.0009669568,0.1,2.314193E-05,,,12.71,,0.023305555555556,0
ERBB2,2,1,0.005,0.0005,0.0003487022,0.1,1.818139E-05,,,18.52,,0.001461111111111,0
ERBB3,2,1,0.005,0.0005,0.001852738,0.1,2.036392E-05,,,15.615,,0.012383333333333,0
ERBB4,2,0,0.005,0.0005,0,0,2.036392E-05,,,15.615,,0.012383333333333,0
EGFRvIII,2,0,0.005,0.0005,0,0,2.314193E-05,,,12.71,,0.023305555555556,0
MET,2,14,0.005,0.0005,0.001788629,0.1,1.858503E-05,,,29.41,,0.001288888888889,0
HGF,2,0,0.005,0.0005,0,0,1.925409E-05,,,,10,0,0.05
PDGFRA,2,2,0.005,0.0005,0.0002349211,0.1,5.203808E-05,,,29.41,3,0.023305555555556,0
PDGFRB,2,3,0.005,0.0005,0.000139518,0.1,5.203808E-05,,,29.41,3,0.023305555555556,0
PDGFB,2,0,0.005,0.0005,0,0,1.925409E-05,,,,10,0,0.05
SPRY2,2,7,0.005,0.0005,0.00313867,0.1,0.0002873745,,,29.59,2,0.002752777777778,0
CBL,2,3,0.005,0.0005,0.0006997631,0.1,4.240989E-05,,,29.59,,0.002752777777778,0
GRB2,2,19,0.005,0.0005,0.0006266123,0.1,2.27859E-05,,,17.22,,0.253066666666667,0
PLCG1,2,3,0.005,0.0005,0.0001012404,0.1,1.840735E-05,,,30.97,,0.004558333333333,0
PLCG2,2,0,0.005,0.0005,0.0001012404,0.1,1.840735E-05,,,30.97,,0.004558333333333,0
PIK3CA,2,2,0.005,0.0005,0.0006702373,0.1,6.093066E-05,,,40.03,,0.001788888888889,0
PIK3CB,2,4,0.005,0.0005,0.0006457164,0.1,5.870149E-05,,,40.03,,0.001788888888889,0
PIK3CG,2,0,0.005,0.0005,0,0,6.418029E-05,,,40.03,,0.001788888888889,0
PIK3CD,2,2,0.005,0.0005,0,0,4.307402E-05,,,40.03,,0.001788888888889,0
PIK3R1,2,4,0.005,0.0005,0.0008273241,0.1,7.521128E-05,,,41.08,,0.005330555555556,0
PIK3R2,2,9,0.005,0.0005,0.0001033146,0.1,1.878448E-05,,,41.08,,0.005330555555556,0
PIK3R3,2,8,0.005,0.0005,0.003858613,0.1,7.795177E-05,,,41.08,,0.005330555555556,0
PIK3R4,2,3,0.005,0.0005,0.0002084596,0.1,3.790175E-05,,,64.41,,0.063455555555556,0
PIK3C2A,2,15,0.005,0.0005,0.0007097687,0.1,2.580977E-05,,,21.41,,0.008227777777778,0
RASGRP1,2,1,0.005,0.0005,0,0,7.405419E-05,,,28.4133333333333,,0.20735,0
RASGRP3,2,1,0.005,0.0005,0.000407298,0.1,7.405419E-05,,,28.4133333333333,,0.20735,0
NRAS,2,59,0.005,0.0005,0.001503615,0.1,1.952747E-05,,,32.34,,0.20735,0
KRAS,2,9,0.005,0.0005,0.001379772,0.1,3.135845E-05,,,22.55,,0.20735,0
HRAS,2,2,0.005,0.0005,0.0001575855,0.1,9.550639E-06,,,30.35,,0.20735,0
NF1,2,6,0.005,0.0005,0.0005091225,0.1,2.314193E-05,,,77.35,,0.004455555555556,0
RAF1,2,8,0.005,0.0005,0.0008083778,0.1,2.44963E-05,,,20.01,,0.000791666666667,0
BRAF,2,1,0.005,0.0005,0.0003966198,0.1,7.211269E-05,,,20.01,,0.000791666666667,0
MAP2K1,2,6,0.005,0.0005,0.0002398584,0.1,2.180531E-05,,,86.8,,0.239638888888889,0
MAP2K2,2,5,0.005,0.0005,0.0002888113,0.1,1.750372E-05,,,86.8,,0.239638888888889,0
DUSP6,2,3,0.005,0.0005,0.007120649,0.1,0.001333386,,,10.98,0.75,0.001643055555556,0
RPS6KA1,2,1,0.005,0.0005,8.680122E-05,0.1,1.578204E-05,,,90.15,,0.026494444444445,0
RPS6KA2,2,3,0.005,0.0005,0.0001813313,0.1,1.648466E-05,,,64.14,,0.015136111111111,0
RPS6KA3,2,7,0.005,0.0005,0.0005146901,0.1,2.3395E-05,,,51.11,,0.005936111111111,0
RPS6KA4,2,1,0.005,0.0005,9.281112E-05,0.1,1.687475E-05,,,29.38,,0.003269444444444,0
DUSP1,2,5,0.005,0.0005,0.01445427,0.1,0.001333386,,,10.98,0.75,0.001643055555556,0
FOS,2,1,0.005,0.0005,0.01869899,0.1,0.001333386,,,14.42,0.75,0.065258333333333,0.3
JUN,2,6,0.005,0.0005,0.02217217,0.1,0.0005776804,,,14.42,2.1667,0.065258333333333,0
MYC,2,4,0.005,0.0005,0.001724363,0.1,0.0002406761,,,14.42,0.5,0.065258333333333,0
CTNNB1,2,61,0.005,0.0005,0.003217879,0.1,1.772936E-05,,,14.42,,0.065258333333333,0
PTEN,2,8,0.005,0.0005,0.002055394,0.1,1.624818E-05,,,132.94,,0.006061111111111,0
AKT1,2,2,0.005,0.0005,6.622732E-05,0.1,1.204133E-05,,,27.79,,0.005794444444444,0
AKT2,2,3,0.005,0.0005,0.0002335974,0.1,1.415742E-05,,,41.17,,0.002541666666667,0
PDPK1,2,4,0.005,0.0005,0.0004987323,0.1,3.02262E-05,,,27.48,,0.006997222222222,0
RICTOR,2,4,0.005,0.0005,0.001379772,0.1,6.27169E-05,,,26.59,,0.011927777777778,0
MTOR,2,7,0.005,0.0005,6.727922E-05,0.1,1.223258E-05,,,37.35,,0.003486111111111,0
GSK3B,2,5,0.005,0.0005,0.0004685729,0.1,2.839836E-05,,,32.89,,0.087380555555556,0
TSC1,2,10,0.005,0.0005,0.0007457569,0.1,3.389804E-05,,,52.3,,0.001513888888889,0
TSC2,2,2,0.005,0.0005,6.698133E-05,0.1,1.217842E-05,,,35.97,,0.000405555555556,0
PRKCA,2,15,0.005,0.0005,0.0002937517,0.1,2.67047E-05,,,60.55,,0.004833333333333,0
PRKCB,2,1,0.005,0.0005,0.0001468758,0.1,2.67047E-05,,,60.55,,0.004833333333333,0
PRKCG,2,0,0.005,0.0005,0,0,2.67047E-05,,,60.55,,0.004833333333333,0
PRKCD,2,2,0.005,0.0005,0.0004406275,0.1,2.67047E-05,,,60.55,,0.004833333333333,0
PEBP1,2,90,0.005,0.0005,0.002270108,0.1,1.115532E-05,,,324.85,,0.180222222222222,0
MAPK1,2,12,0.005,0.0005,0.0006437537,0.1,1.950769E-05,,,53.2,,0.441577777777778,0
MAPK3,2,3,0.005,0.0005,0.0001848124,0.1,1.680112E-05,,,120.4,,0.0377,0
FOXO3,2,4,0.005,0.0005,0.00177979,0.1,8.089953E-05,,,46.45,,0.033563888888889,0
RHEB,2,36,0.005,0.0005,0.004241372,0.1,2.487608E-05,,,22.92,,0.113625,0
RPTOR,2,1,0.005,0.0005,7.657085E-05,0.1,1.392197E-05,,,7.56,,0.011927777777778,0
RPS6KB1,2,5,0.005,0.0005,0.0003340615,0.1,2.024615E-05,,,30.03,,0.0113,0
RPS6KB2,2,1,0.005,0.0005,0.0002227076,0.1,2.024615E-05,,,30.03,,0.0113,0
EIF4EBP1,2,30,0.005,0.0005,0.004695571,0.1,2.246685E-05,,,6.36,,0.124511111111111,0
SOS1,2,5,0.005,0.0005,0.0004213428,0.1,2.553593E-05,,,38.51,,0.008944444444444,0
CDKN2A,2,1,0.005,0.0005,0,0,1.747195E-05,,,14.78,,0.008680555555556,0
MDM4,2,14,0.005,0.0005,0.001260684,0.1,6.54901E-05,,,0.74,,0.003197222222222,0
FGFR1,2,10,0.005,0.0005,4.7221E-05,0.1,1.791078E-05,,,29.41,,0.001288888888889,0
FGFR2,2,3,0.005,0.0005,0.0008061812,0.1,7.795177E-05,,,29.41,,0.001288888888889,0
FGF1,2,0,0.005,0.0005,0,0,1.925409E-05,,,,10,0,0.05
FGF2,2,0,0.005,0.0005,0,0,1.925409E-05,,,,10,0,0.05
EIF4E,2,78,0.005,0.0005,0.003925956,0.1,1.878448E-05,,,115.62,,0.400219444444445,0
IRS1,2,4,0.005,0.0005,0.0009775153,0.1,5.924335E-05,,,3.31,,0.003163888888889,0
IRS2,2,4,0.005,0.0005,0.0006516768,0.1,5.924335E-05,,,3.31,,0.003163888888889,0
IGF1,2,0,0.005,0.0005,0,0,1.925409E-05,,,,10,0,0.05
IGF2,2,0,0.005,0.0005,0,0,1.925409E-05,,,,10,0,0.05
IGF1R,2,3,0.005,0.0005,0.0009972017,0.1,6.354485E-05,,,29.41,,0.001288888888889,0
MSH6,2,11,0.005,0.0005,0.0007395076,0.1,2.689118E-05,,,34.73,,0.033355555555556,0
BRCA2,2,5,0.005,0.0005,0.000295803,0.1,2.689118E-05,,,34.73,2.5,0.033355555555556,0
MGMT,2,1,0.005,0.0005,0.0004126948,0.1,1.500708E-05,,,34.36,,0.033355555555556,0
INSR,2,5,0.005,0.0005,0.001599062,0.1,5.001062E-05,,,29.41,6.7,0.001288888888889,0
INS,2,0,0.005,0.0005,0,0,1.925409E-05,,,,10,0,0.05
